date,all_asset
3/1/1980,152080
6/1/1980,172214
9/1/1980,175436
12/1/1980,179104
3/1/1981,202595
6/1/1981,203666
9/1/1981,207484
12/1/1981,250633
3/1/1982,248300
6/1/1982,244735
9/1/1982,265321
12/1/1982,285813
3/1/1983,274156
6/1/1983,277884
9/1/1983,300605
12/1/1983,315712
3/1/1984,333587
6/1/1984,342044
9/1/1984,362389
12/1/1984,399321
3/1/1985,373374
6/1/1985,382333
9/1/1985,407222
12/1/1985,468475
3/1/1986,488627
6/1/1986,518547
9/1/1986,547934
12/1/1986,571419
3/1/1987,575882
6/1/1987,583954
9/1/1987,613459
12/1/1987,630590
3/1/1988,680418
6/1/1988,687614
9/1/1988,726255
12/1/1988,687114
3/1/1989,756598
6/1/1989,835695
9/1/1989,795466
12/1/1989,780517
3/1/1990,776864
6/1/1990,774510
9/1/1990,766165
12/1/1990,750138
3/1/1991,754362
6/1/1991,794209
9/1/1991,834843
12/1/1991,770450
3/1/1992,809092
6/1/1992,852600
9/1/1992,920862
12/1/1992,909275
3/1/1993,985805
6/1/1993,977844
9/1/1993,1059023
12/1/1993,1037410
3/1/1994,1102126
6/1/1994,1131534
9/1/1994,1174027
12/1/1994,1076969
3/1/1995,1157291
6/1/1995,1216633
9/1/1995,1239257
12/1/1995,1271368
3/1/1996,1318229
6/1/1996,1349692
9/1/1996,1350140
12/1/1996,1352361
3/1/1997,1456951
6/1/1997,1488565
9/1/1997,1599463
12/1/1997,1597151
3/1/1998,1714880
6/1/1998,1714441
9/1/1998,1753505
12/1/1998,1591879
3/1/1999,1622027
6/1/1999,1610436
9/1/1999,1603090
12/1/1999,1655006
3/1/2000,1729936
6/1/2000,1777625
9/1/2000,1809499
12/1/2000,1883290
3/1/2001,2123314
6/1/2001,2148251
9/1/2001,2194089
12/1/2001,2214102
3/1/2002,2247407
6/1/2002,2413948
9/1/2002,2491802
12/1/2002,2503955
3/1/2003,2604412
6/1/2003,2794300
9/1/2003,2748202
12/1/2003,2778199
3/1/2004,2992298
6/1/2004,3070682
9/1/2004,3378368
12/1/2004,3288315
3/1/2005,3481640
6/1/2005,3684465
9/1/2005,3860174
12/1/2005,3760529
3/1/2006,4052655
6/1/2006,4131178
9/1/2006,4504355
12/1/2006,4432733
3/1/2007,4868612
6/1/2007,4954954
9/1/2007,5012825
12/1/2007,4848269
3/1/2008,5166959
6/1/2008,4803722
9/1/2008,4841898
12/1/2008,3553991
3/1/2009,3521097
6/1/2009,3481933
9/1/2009,3527669
12/1/2009,3175565
3/1/2010,3515919
6/1/2010,3595074
9/1/2010,3624897
12/1/2010,3597894
3/1/2011,3686475
6/1/2011,3749704.6
9/1/2011,3880732.8
12/1/2011,3878744.8
3/1/2012,3947954
6/1/2012,4029817.7
9/1/2012,4072000.2
12/1/2012,4130106.6
3/1/2013,3962496.1
6/1/2013,3801997.6
9/1/2013,3795117.7
12/1/2013,3657140.7
3/1/2014,3741690
6/1/2014,3780459.5
9/1/2014,3680732.9
12/1/2014,3699776.6
3/1/2015,3756272.6
